type,name,usage_count,node_types,civitai_name,civitai_id,version,download_url,page_url,workflows
upscale_model,latent_upscale_models\ltx-2-spatial-upscaler-x2-1.0.safetensors,1,LatentUpscaleModelLoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2+文生视频低显存版(1).json
upscale_model,ESRGAN_4x.pth,1,UpscaleModelLoader,⚡ Ultra Pro Face Swap 4K Pipeline — Dual Restoration + ESRGAN | ComfyUI,2448602,,https://civitai.com/api/download/models/2753254,https://civitai.com/models/2448602,WAI-NSFW-illustriousV16.json
upscale_model,2xNomosUni_span_multijpg_ldl.safetensors,1,UpscaleModelLoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,Z+Controlnet.json
upscale_model,1x-ITF-SkinDiffDetail-Lite-v1.pth,1,UpscaleModelLoader,Pinup512 and Centerfold512 - Easy pin-up poster and magazine model stylings for all Model 1.X versions and merges!,7263,,https://civitai.com/api/download/models/8538,https://civitai.com/models/7263,Z-image文生图极限高清修复 .json
upscale_model,2xLexicaRRDBNet.pth,1,UpscaleModelLoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,▶WAN2.2-I2V-Enhanced+MMAudio.json
upscale_model,latent_upscale_models\ltx-2.3-spatial-upscaler-x2-1.0.safetensors,1,LatentUpscaleModelLoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,【LTX-2.3】首尾帧.json
upscale_model,4xFaceUpSharpLDAT.pth,1,UpscaleModelLoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,【尺素】人物美学Z三采可视化sigam工作流 (1).json
upscale_model,SwinIR_4x.pth,1,UpscaleModelLoader,PonIR- SwinIR finetuned on pony AI images,642764,,https://civitai.com/api/download/models/718966,https://civitai.com/models/642764,【尺素】人物美学Z双采可视化sigam工作流(1).json
upscale_model,latent_upscale_model_ltxv.safetensors,1,LatentUpscaleModelLoader,Wan 2.2 i2v Comfyui Workflow :: SVI FFLF with Latent Saving and Loading,2534583,,https://civitai.com/api/download/models/2896956,https://civitai.com/models/2534583,谷歌2_wan2.2改LTX2.3首尾帧.json
upscale_model,4x_NMKD-Siax_200k.pth,1,UpscaleModelLoader,4x_NMKD-Siax_200k,1813922,,https://civitai.com/api/download/models/2052724,https://civitai.com/models/1813922,高清脱_V2.json
vae,qwen_image_vae.safetensors,71,VAELoader,"iGEN ONE (ZImage, Ernie, FLUX1/2, Qwen, HiDream, Nunchaku)",2572843,,https://civitai.com/api/download/models/2914452,https://civitai.com/models/2572843,(M-V1)任意图像转换成真实风格图像 .json; 2511+镜头选择-单个(1).json; 2511-姿势迁移（自用）(1).json
vae,flux2-vae.safetensors,54,VAELoader,MS LuisRoyo Style Flux.2 klein,2588084,,https://civitai.com/api/download/models/2907393,https://civitai.com/models/2588084,+人物一键三视图+Flux2+Klein（6G显存即可使用）(1).json; 0-【本地解码】flux2+klein+“指定位置”+皮肤完美克隆.json; base+klein+seed（抽卡）.json
vae,LTX23_audio_vae_bf16.safetensors,48,LTXVAudioVAELoader; VAELoaderKJ; VAELoader,LTX2.3 All in one - ID LoRA + ControlNet + Detailer + Upscaler + Custom Audio + Keyframes,2553704,,https://civitai.com/api/download/models/2869945,https://civitai.com/models/2553704,1(1).json; 10Eros_10SNodes_TripleSample_I2V(2).json; 10Eros_i2v(1).json
vae,LTX23_video_vae_bf16.safetensors,41,VAELoaderKJ; VAELoader,LTX2.3 All in one - ID LoRA + ControlNet + Detailer + Upscaler + Custom Audio + Keyframes,2553704,,https://civitai.com/api/download/models/2869945,https://civitai.com/models/2553704,1(1).json; 10Eros_10SNodes_TripleSample_I2V(2).json; 10Eros_i2v(1).json
vae,wan_2.1_vae.safetensors,40,WanVideoVAELoader; VAELoader,Wan Vace 2.1 Flow Archive,2570937,,https://civitai.com/api/download/models/2917676,https://civitai.com/models/2570937,1 (1)(1).json; 1 Wan2.2质量文生图+TTP高阶放大（全网ID ：楚门的AI世界）(1).json; 10.Scail单_双人动作迁移自由切换版(1).json
vae,ae.safetensors,40,VAELoader,Kojika Kumari - Mahou Tsukai no Yoru,2599176,,https://civitai.com/api/download/models/2919694,https://civitai.com/models/2599176,1-Aiden-Zimage增强细节-高清放大lora工作流 (1)(1).json; AI代码侠土豆 瑶光电商图专用_换产品_衣服(1).json; amazing-z-image-a_SAFETENSORS.json
